uuid;n_sq;response_type;reason_protest;reason_truezero;reason_sensitivity;C7_newr1;C7_newr2;C7_newr3;C7_comment;C8_newr1;C8_newr2;C8_newr3;C8_newr4;C8_newr5;C8_newr6;C8_newr7;C8_newr8;C8_newr9;C8_comment;comment_override
2kkszuk5p7dvtq2r;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Staten får se å betale for dette. Enormt mange grep som kan gjøres for å ha penger til dette utenom noen mer avgifter til folket.;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;Kutt i byråkratiet, senk overdådige lederlønninger, slutt med bistand til utland o.m.m;NA
2qckkmp2tzhzbk93;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
2vjd7akezw6d4p8u;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Betaler allerede alt for mye i skatt, så dette må staten ta seg av.;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
3psjesyrwfwbjv1k;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
3qj73bmzwkh1g0q5;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;DETTE ER KORRUPTE  POLITIKERES ANSVAR. VI ER VERDENS RIKESTE LAND MEN SKATTES MEST. KOMMUNISME KALLES DETTE OG ER SVINERI AV VERSTE SORT. STANS UTSLIPP, SETT AV PENGER I BUDSJETTET, SLUTT Å ØKE SKATTENE OM OG OM OGJEN!!!!!!!;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;COMMIE BASTARDS!!!;NA
3u8uxu167zvgm76r;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
3yzgv2fppj4eky6d;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Er ufør og betaler allerede mye skatt på lav inntekt;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
4393f7tu3mfhwe30;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
4ca5btudaccc1dnk;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;Jeg bruker ikke Oslofjorden;;NA
4epyqpkdm198mpzw;6;True zero;FALSE;TRUE;FALSE;Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
4k9de2pmrmbhcrab;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;Jeg bruker ikke Oslofjorden;;NA
4kjvj1xt6g1mc9j8;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
4qcdux4qppeepj3a;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
56p7bw43h1buq1eh;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
57xjuhp049wu9r28;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
5akbu4fyu15td0jh;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
5pde4a50b9vcf5xj;6;Unclassified SQ;FALSE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;"Lettere å overholde lover og regler når det ikke er delt inn i soner. Folk må se konsekvenser; likt overalt. Ønsket seff grønt overalt, men folk er ikke kollektivt opptatt e mer. Utlendinger skjønner fortsatt ikke fiskegdforbudet, men det får nada konsekvenser?";NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;Vi har nok kr til å gjøre sjøen levelig for alle, men den politiske viljen dreier seg om egen lommebok. Sinna;Uncertain
5w37rpca0h7y0duk;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
649m1ab7j0hfctss;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;Jeg bruker ikke Oslofjorden;;NA
669zvk8y5chur5vx;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
68rkfc63pjz7kfar;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;Beklager. Økonomien styrte. Ville likevel forstått utgifter.;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
6bmfbk66w9nhahgd;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
6d0ubrt0jjg1arhy;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
6fc4eprexejrx5dc;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
6n2deykhb1atk3m7;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Jeg mener at innbyggerne ikke skal betale ekstra for forbedring. Det er statens ansvar i den grad man mener at det er et faktisk og reelt problem.;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
79aefbsbpv9aqwaf;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Staten må ta kostnadene;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
7mukvdba3xw6h5pu;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
7mxf0kazsbkhm577;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;staten må ta  denne kostnaden. det er jo svevestøv fra biler som forurenser mest. dette blir ikke borte  om jeg betaler mer i skatt, tvert om;NA
85fmmq7t80x2ejss;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;Jeg er ikke villig ti å betale ekstra skatt for å løse denne utfordringen;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
88mmpth0e8cvgbnr;6;Protest;TRUE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
